2015-05-25 20:45:00 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:49:20 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:51:03 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:51:27 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:51:44 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:52:01 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:52:12 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:52:19 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:52:26 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:52:38 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:52:50 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:53:37 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:54:11 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:54:31 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:54:34 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:57:22 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:58:27 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:58:39 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 20:59:47 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:00:27 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:01:16 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:04:56 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:05:39 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:06:03 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:06:53 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:08:16 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:09:19 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:09:51 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:10:09 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
2015-05-25 21:10:26 info INFO  User: undefined, Id: undefined, Level: undefined, Source: main/action, Target: enter the main page
